itter,avg,del
92.000000,0,254.045654
1.646240,50,241.573975
0.881058,100,235.561523
0.644608,150,230.988373
0.543198,200,227.167603
0.459152,250,223.832031
0.389694,300,220.844452
0.332062,350,218.122894
0.300171,400,215.613510
0.273697,450,213.278915
0.251144,500,211.091370
0.231995,550,209.029968
0.215363,600,207.078339
0.200897,650,205.223312
0.188324,700,203.454254
0.177368,750,201.762238
0.167664,800,200.139816
0.159058,850,198.580734
0.151413,900,197.079498
0.144531,950,195.631348
0.138290,1000,194.232285
0.132584,1050,192.878632
0.127396,1100,191.567261
0.122589,1150,190.295273
0.118103,1200,189.060120
0.113922,1250,187.859589
0.110001,1300,186.691498
0.106339,1350,185.554123
0.102890,1400,184.445724
0.099686,1450,183.364731
