itter,avg,del
126.250000,0,254.866974
1.804108,50,253.118408
0.909409,100,252.263245
0.629944,150,251.607254
0.510483,200,251.055008
0.423660,250,250.568985
0.358749,300,250.129883
0.309250,350,249.726242
0.270523,400,249.350693
0.239929,450,248.998108
0.215179,500,248.664658
0.194778,550,248.347656
0.177689,600,248.044922
0.163071,650,247.754593
0.150650,700,247.475403
0.139877,750,247.206055
0.130371,800,246.945724
0.123932,850,246.693466
0.117935,900,246.448730
0.114029,950,246.210770
0.110977,1000,245.979111
0.108231,1050,245.753250
0.105652,1100,245.532852
0.103271,1150,245.317490
0.101013,1200,245.106903
0.098923,1250,244.900803
0.096939,1300,244.698807
0.095016,1350,244.500793
0.093155,1400,244.306534
0.091400,1450,244.115784
0.089752,1500,243.928360
0.088120,1550,243.744202
0.086578,1600,243.562988
0.085083,1650,243.384827
0.083618,1700,243.209366
0.082245,1750,243.036514
0.080902,1800,242.866241
0.079605,1850,242.698380
0.078339,1900,242.532883
0.077118,1950,242.369629
0.075928,2000,242.208557
0.074768,2050,242.049561
0.073639,2100,241.892548
0.072571,2150,241.737518
0.071503,2200,241.584335
0.070496,2250,241.432999
0.069489,2300,241.283371
0.068512,2350,241.135422
0.067581,2400,240.989151
0.066650,2450,240.844513
0.065781,2500,240.701370
0.064896,2550,240.559738
0.064056,2600,240.419571
0.063248,2650,240.280792
0.062424,2700,240.143387
0.061646,2750,240.007401
0.060867,2800,239.872620
0.060135,2850,239.739151
0.059387,2900,239.606903
0.058701,2950,239.475891
0.057999,3000,239.346024
0.057343,3050,239.217346
0.056656,3100,239.089737
0.056000,3150,238.963242
0.055344,3200,238.837845
0.054749,3250,238.713486
0.054123,3300,238.590057
0.053528,3350,238.467697
0.052933,3400,238.346329
0.052338,3450,238.225906
0.051788,3500,238.106400
0.051224,3550,237.987793
0.050674,3600,237.870117
0.050125,3650,237.753281
0.049637,3700,237.637314
