itter,avg,del
84.500000,0,253.983246
1.364243,50,253.567963
0.746231,100,253.348724
0.541229,150,253.179138
0.443115,200,253.035446
0.378937,250,252.907837
0.332794,300,252.791107
0.297607,350,252.682007
0.269684,400,252.578598
0.246979,450,252.479401
0.227875,500,252.383484
0.211609,550,252.290192
0.197510,600,252.199020
0.185211,650,252.109558
0.174377,700,252.021591
0.165039,750,251.934860
0.157639,800,251.849182
0.150833,850,251.764450
0.144577,900,251.680527
0.138870,950,251.597336
0.133606,1000,251.514771
0.128662,1050,251.432800
0.124115,1100,251.351349
0.119827,1150,251.270370
0.115829,1200,251.189789
0.112076,1250,251.109604
0.108536,1300,251.029755
0.105209,1350,250.950256
0.102081,1400,250.871017
0.099091,1450,250.792038
0.096268,1500,250.713303
0.093597,1550,250.634766
0.091034,1600,250.556442
0.088654,1650,250.478256
0.086365,1700,250.400238
0.084152,1750,250.322357
0.082123,1800,250.244598
0.080124,1850,250.166962
0.078217,1900,250.089355
0.076401,1950,250.011871
0.074692,2000,249.934448
0.073013,2050,249.857086
0.071457,2100,249.779755
0.069946,2150,249.702484
0.068497,2200,249.625229
0.067123,2250,249.547958
0.065781,2300,249.470703
0.064499,2350,249.393478
0.063263,2400,249.316254
0.062057,2450,249.238983
0.060928,2500,249.161728
0.059830,2550,249.084396
0.058807,2600,249.007080
0.057770,2650,248.929733
0.056808,2700,248.852325
0.055878,2750,248.774872
0.054947,2800,248.697388
0.054092,2850,248.619843
0.053223,2900,248.542236
0.052399,2950,248.464584
0.051620,3000,248.386887
0.050858,3050,248.309082
0.050110,3100,248.231247
0.049393,3150,248.153351
