itter,avg,del
92.000000,0,250.252731
1.646240,50,240.301865
0.881058,100,235.530121
0.644608,150,231.902466
0.543198,200,228.874680
0.459152,250,226.235291
0.389694,300,223.875107
0.331802,350,221.728622
0.283234,400,219.752655
0.242188,450,217.917023
0.207794,500,216.199524
0.191422,550,214.583313
0.177536,600,213.055206
0.166351,650,211.604614
0.156525,700,210.223022
0.147430,750,208.903244
0.139053,800,207.639282
0.132141,850,206.426086
0.126007,900,205.259323
0.120605,950,204.135101
0.115631,1000,203.050232
0.111084,1050,202.001801
0.106934,1100,200.987122
0.102966,1150,200.004028
0.099335,1200,199.050446
0.095901,1250,198.124542
0.092636,1300,197.224640
0.089600,1350,196.349228
0.086731,1400,195.496979
0.084076,1450,194.666656
0.081512,1500,193.857056
0.079147,1550,193.067169
0.076843,1600,192.296021
0.074692,1650,191.542770
0.072678,1700,190.806503
0.070770,1750,190.086517
0.068939,1800,189.382126
0.067200,1850,188.692566
0.065598,1900,188.017334
0.064072,1950,187.355804
0.062607,2000,186.707458
0.061203,2050,186.071762
0.059875,2100,185.448273
0.058624,2150,184.836533
0.057434,2200,184.236084
0.056274,2250,183.646637
0.055206,2300,183.067719
0.054169,2350,182.499023
0.053162,2400,181.940247
0.052185,2450,181.391022
0.051270,2500,180.851074
0.050369,2550,180.320129
0.049515,2600,179.797943
